recipe_id,recipe_name,bengali_name,source_type,source_path,source_url,existing_slug,target_slug,current_route,target_route,structured_recipe_exists,legacy_post_exists,duplicate_group,migration_status,content_status,image_status,english_status,bengali_status,taxonomy_status,seo_status,review_status,publish_status,protein,meal,cuisine,type,series,difficulty,time_bucket,dietary,occasion,collection_candidates,featured_homepage,notes
ck-aloo-posto,Aloo Posto,আলু পোস্ত,structured-recipe|legacy-post,src/content/recipes/aloo-posto.md|src/content/posts/aloo-posto.md,,aloo-posto,aloo-posto,/recipes/aloo-posto/|/posts/aloo-posto/,/recipes/aloo-posto/,yes,yes,legacy-structured:aloo-posto,migrated,complete,yes,complete,complete,complete,complete,unknown,both,vegetarian,lunch|dinner,bengali,curry,,easy,under-60-minutes,unknown,unknown,weeknight-dinners,yes,
ck-basanti-pulao,Bengali Basanti Pulao,বাসন্তী পোলাও,structured-recipe|legacy-post,src/content/recipes/basanti-pulao.md|src/content/posts/basanti-pulao.md,,basanti-pulao,basanti-pulao,/recipes/basanti-pulao/|/posts/basanti-pulao/,/recipes/basanti-pulao/,yes,yes,legacy-structured:basanti-pulao,migrated,complete,yes,complete,complete,complete,complete,unknown,both,vegetarian,lunch|dinner,bengali,rice,,medium,under-60-minutes,unknown,unknown,weeknight-dinners,no,Phase 6C migrated; legacy route retained; structured route is the future canonical candidate pending canonicalization.
ck-chicken-kosha,Chicken Kosha,চিকেন কষা,structured-recipe|legacy-post,src/content/recipes/chicken-kosha.md|src/content/posts/chicken-kosha.md,,chicken-kosha,chicken-kosha,/recipes/chicken-kosha/|/posts/chicken-kosha/,/recipes/chicken-kosha/,yes,yes,legacy-structured:chicken-kosha,migrated,complete,yes,complete,complete,complete,complete,unknown,both,chicken,lunch|dinner,bengali,curry,,medium,over-60-minutes,unknown,unknown,weeknight-dinners,yes,
ck-ghugni,Kolkata Street Style Ghugni,কলকাতা স্টাইল ঘুগনি,structured-recipe|legacy-post,src/content/recipes/ghugni.md|src/content/posts/ghugni.md,,ghugni,ghugni,/recipes/ghugni/|/posts/ghugni/,/recipes/ghugni/,yes,yes,legacy-structured:ghugni,migrated,complete,yes,complete,complete,complete,complete,unknown,both,vegetarian,snack,bengali,curry,,medium,over-60-minutes,unknown,unknown,,yes,
ck-ilish-bhapa,Ilish Bhapa,ইলিশ ভাপা,structured-recipe|legacy-post,src/content/recipes/ilish-bhapa.md|src/content/posts/ilish-bhapa.md,,ilish-bhapa,ilish-bhapa,/recipes/ilish-bhapa/|/posts/ilish-bhapa/,/recipes/ilish-bhapa/,yes,yes,legacy-structured:ilish-bhapa,migrated,complete,yes,complete,complete,complete,complete,unknown,both,fish,lunch|dinner,bengali,steamed,,medium,under-60-minutes,unknown,unknown,weeknight-dinners,no,Phase 6C migrated; legacy route retained; structured route is the future canonical candidate pending canonicalization.
ck-kolkata-chicken-biryani,Kolkata Chicken Biryani,কলকাতা চিকেন বিরিয়ানি,structured-recipe|legacy-post,src/content/recipes/kolkata-chicken-biryani.md|src/content/posts/kolkata-chicken-biryani.md,,kolkata-chicken-biryani,kolkata-chicken-biryani,/recipes/kolkata-chicken-biryani/|/posts/kolkata-chicken-biryani/,/recipes/kolkata-chicken-biryani/,yes,yes,legacy-structured:kolkata-chicken-biryani,migrated,complete,yes,complete,complete,complete,complete,unknown,both,chicken,lunch|dinner,bengali,rice,,hard,over-60-minutes,unknown,unknown,weeknight-dinners,no,
ck-kolkata-chicken-roll,Kolkata Chicken Roll,কলকাতা চিকেন রোল,structured-recipe|legacy-post,src/content/recipes/kolkata-chicken-roll.md|src/content/posts/kolkata-chicken-roll.md,,kolkata-chicken-roll,kolkata-chicken-roll,/recipes/kolkata-chicken-roll/|/posts/kolkata-chicken-roll/,/recipes/kolkata-chicken-roll/,yes,yes,legacy-structured:kolkata-chicken-roll,migrated,complete,yes,complete,complete,complete,complete,unknown,both,chicken,snack|dinner,bengali,bread,,medium,over-60-minutes,unknown,unknown,weeknight-dinners,no,Phase 6C migrated; legacy route retained; unsupported legacy affiliate IDs omitted: metal-skewers; metal-spatula; rolling-pin and mixing-bowl.
ck-kolkata-egg-roll,Kolkata Egg Roll,কলকাতা এগ রোল,structured-recipe|legacy-post,src/content/recipes/kolkata-egg-roll.md|src/content/posts/kolkata-egg-roll.md,,kolkata-egg-roll,kolkata-egg-roll,/recipes/kolkata-egg-roll/|/posts/kolkata-egg-roll/,/recipes/kolkata-egg-roll/,yes,yes,legacy-structured:kolkata-egg-roll,migrated,complete,yes,complete,complete,complete,complete,unknown,both,egg,snack|dinner,bengali,bread,,medium,over-60-minutes,unknown,unknown,weeknight-dinners,no,Phase 6C migrated; legacy route retained; unsupported legacy affiliate IDs omitted: metal-spatula; rolling-pin and mixing-bowl.
ck-maach-bhaja,Maach Bhaja,মাছ ভাজা,structured-recipe|legacy-post,src/content/recipes/maach-bhaja.md|src/content/posts/maach-bhaja.md,,maach-bhaja,maach-bhaja,/recipes/maach-bhaja/|/posts/maach-bhaja/,/recipes/maach-bhaja/,yes,yes,legacy-structured:maach-bhaja,migrated,complete,yes,complete,complete,complete,complete,unknown,both,fish,lunch,bengali,fried,,easy,under-30-minutes,unknown,unknown,,no,Phase 6C migrated; legacy route retained; unsupported legacy affiliate IDs omitted: metal-khunti and mustard-oil.
ck-maacher-jhol,Patla Maacher Jhol,পাতলা মাছের ঝোল,structured-recipe|legacy-post,src/content/recipes/maacher-jhol.md|src/content/posts/maacher-jhol.md,,maacher-jhol,maacher-jhol,/recipes/maacher-jhol/|/posts/maacher-jhol/,/recipes/maacher-jhol/,yes,yes,legacy-structured:maacher-jhol,migrated,complete,yes,complete,complete,complete,complete,unknown,both,fish,lunch|dinner,bengali,curry,,medium,under-60-minutes,unknown,unknown,weeknight-dinners,yes,
ck-mango-bhapa-doi,Mango Bhapa Doi,,structured-recipe|legacy-post,src/content/recipes/mango-bhapa-doi.md|src/content/posts/mango-bhapa-doi.md,,mango-bhapa-doi,mango-bhapa-doi,/recipes/mango-bhapa-doi/|/posts/mango-bhapa-doi/,/recipes/mango-bhapa-doi/,yes,yes,legacy-structured:mango-bhapa-doi,migrated,complete,yes,complete,missing,complete,complete,unknown,both,vegetarian,dessert,bengali,sweet,,easy,over-60-minutes,unknown,unknown,,yes,
ck-sorshe-ilish,Sorshe Ilish,সরষে ইলিশ,structured-recipe|legacy-post,src/content/recipes/sorshe-ilish.md|src/content/posts/sorshe-ilish.md,,sorshe-ilish,sorshe-ilish,/recipes/sorshe-ilish/|/posts/sorshe-ilish/,/recipes/sorshe-ilish/,yes,yes,legacy-structured:sorshe-ilish,migrated,complete,yes,complete,complete,complete,complete,unknown,both,fish,lunch|dinner,bengali,curry,,medium,under-60-minutes,unknown,unknown,weeknight-dinners,yes,
